customer_id,segment,industry,plan,mrr,clv,usage_score,nps_score,support_tickets,churn_probability,risk_category
CUST_000482,Small Business,Education,Basic,49,870.38,50,42,1,1.0,Very High Risk
CUST_002148,Small Business,Manufacturing,Basic,49,794.79,44,40,3,1.0,Very High Risk
CUST_002591,Small Business,Healthcare,Basic,49,640.67,44,84,1,0.9999661645049546,Very High Risk
CUST_001773,Enterprise,Finance,Business,399,5322.7300000000005,47,25,2,0.9999661645049546,Very High Risk
CUST_002021,Small Business,Technology,Basic,49,1012.85,41,69,3,0.9999106097690752,Very High Risk
CUST_002463,Enterprise,Technology,Basic,49,893.9399999999999,46,66,3,0.9999106097690752,Very High Risk
CUST_003630,Mid-Market,Retail,Business,399,6529.52,45,81,3,0.9998664494052395,Very High Risk
CUST_003507,Small Business,Real Estate,Basic,49,953.76,68,24,2,0.9997966019450165,Very High Risk
CUST_000557,Small Business,Finance,Professional,149,2496.25,68,95,2,0.9997307223403469,Very High Risk
CUST_000550,Small Business,Retail,Professional,149,1419.67,43,-14,1,0.9996940199093239,Very High Risk
CUST_000107,Startup,Finance,Basic,49,559.08,70,13,1,0.9996355237589778,Very High Risk
CUST_001269,Small Business,Manufacturing,Professional,149,1707.44,46,62,2,0.9995943048096089,Very High Risk
CUST_001631,Small Business,Technology,Basic,49,648.67,66,25,1,0.9995716251978208,Very High Risk
CUST_000502,Startup,Healthcare,Professional,149,1827.05,45,22,1,0.9995596162224792,Very High Risk
CUST_004820,Startup,Technology,Business,399,5531.4,59,55,0,0.9995285910427895,Very High Risk
CUST_003815,Small Business,Finance,Professional,149,1647.0,76,26,2,0.9994866931423938,Very High Risk
CUST_001315,Mid-Market,Other,Professional,149,1906.82,50,60,2,0.9993841519801562,Very High Risk
CUST_003192,Small Business,Technology,Enterprise,999,13832.7,72,19,0,0.9993535167570761,Very High Risk
CUST_000344,Small Business,Technology,Business,399,5014.7,75,-48,0,0.9993535167570761,Very High Risk
CUST_000453,Small Business,Retail,Basic,49,505.23,52,-8,1,0.9993202923796722,Very High Risk
CUST_002653,Enterprise,Technology,Basic,49,898.99,63,-41,3,0.999296160072924,Very High Risk
CUST_000183,Small Business,Healthcare,Basic,49,583.35,44,-49,2,0.9992864568846268,Very High Risk
CUST_004637,Startup,Education,Basic,49,485.34000000000003,40,52,4,0.999190082644628,Very High Risk
CUST_004027,Small Business,Retail,Basic,49,705.72,42,23,4,0.9991562471495825,Very High Risk
CUST_000414,Small Business,Manufacturing,Basic,49,878.15,47,47,4,0.9991562471495825,Very High Risk
CUST_004963,Small Business,Manufacturing,Business,399,5636.34,47,-24,3,0.9991562471495825,Very High Risk
CUST_003857,Small Business,Real Estate,Business,399,7868.45,42,1,0,0.9991506434699778,Very High Risk
CUST_002940,Startup,Healthcare,Basic,49,347.54,48,39,1,0.9991248247204516,Very High Risk
CUST_000363,Small Business,Technology,Business,399,5554.06,73,48,0,0.9990780467089782,Very High Risk
CUST_001601,Startup,Real Estate,Basic,49,921.39,48,-49,3,0.9990408849223991,Very High Risk
CUST_003874,Small Business,Technology,Basic,49,661.0500000000001,41,-1,1,0.9990224334258461,Very High Risk
CUST_001240,Enterprise,Other,Enterprise,999,13156.53,79,90,0,0.9989689567865682,Very High Risk
CUST_000750,Small Business,Education,Professional,149,1067.8899999999999,41,32,3,0.9989493604781284,Very High Risk
CUST_004864,Mid-Market,Real Estate,Business,399,7208.12,56,39,3,0.9988878589850572,Very High Risk
CUST_001351,Startup,Finance,Basic,49,550.67,52,92,1,0.9988365971605553,Very High Risk
CUST_003135,Startup,Other,Professional,149,1354.55,44,13,3,0.9987806904661737,Very High Risk
CUST_001385,Small Business,Finance,Professional,149,1679.58,45,0,6,0.9985854090049916,Very High Risk
CUST_004310,Small Business,Healthcare,Basic,49,1176.67,51,-17,2,0.9984120248534174,Very High Risk
CUST_004125,Startup,Real Estate,Professional,149,3319.82,41,5,3,0.9983058464602589,Very High Risk
CUST_000119,Small Business,Other,Professional,149,1089.69,48,-27,1,0.9982608068854882,Very High Risk
CUST_004799,Startup,Manufacturing,Business,399,5534.98,53,38,4,0.998253226090064,Very High Risk
CUST_003699,Enterprise,Healthcare,Basic,49,442.40999999999997,44,27,2,0.9982167112091095,Very High Risk
CUST_004188,Small Business,Manufacturing,Basic,49,832.12,55,8,1,0.9981800175029584,Very High Risk
CUST_002559,Mid-Market,Technology,Basic,49,302.34000000000003,58,29,1,0.9981762192834458,Very High Risk
CUST_001047,Mid-Market,Technology,Basic,49,910.2,50,55,4,0.9981611564732301,Very High Risk
CUST_001120,Small Business,Technology,Basic,49,930.44,64,35,2,0.9981235640977755,Very High Risk
CUST_003297,Small Business,Finance,Business,399,6757.03,43,58,4,0.9981117771247306,Very High Risk
CUST_001851,Startup,Technology,Business,399,6037.97,47,49,5,0.9980919377293599,Very High Risk
CUST_004100,Small Business,Retail,Professional,149,3397.85,47,81,2,0.9980895629761,Very High Risk
CUST_001498,Small Business,Manufacturing,Business,399,6877.69,51,-18,4,0.9980779416296852,Very High Risk
