customer_id,signup_date,segment,industry,country,plan,mrr,contract_length,number_of_users,support_tickets,usage_score,nps_score,churn_date,is_churned,lifetime_months,total_revenue,clv,last_transaction_date,recency_days,transaction_count,avg_transaction_value,cohort_month
CUST_000001,2023-01-31,Startup,Healthcare,Other,Basic,49,24,3,2,53,7,,0.0,23.3,1194.63,1194.63,2024-12-28,3,24,49.776250000000005,2023-01
CUST_000002,2023-12-30,Startup,Retail,USA,Basic,49,12,4,1,55,60,,0.0,12.2,676.89,676.89,2024-12-29,2,13,52.068461538461534,2023-12
CUST_000003,2022-05-10,Small Business,Retail,Other,Professional,149,12,8,1,52,7,2024-03-22,1.0,22.7,3470.2,3470.2,2024-03-10,296,23,150.8782608695652,2022-05
CUST_000004,2023-07-18,Startup,Retail,USA,Business,399,1,1,3,54,17,,0.0,17.7,7107.6900000000005,7107.6900000000005,2024-12-18,13,18,394.87166666666667,2023-07
CUST_000005,2023-02-04,Startup,Technology,USA,Business,399,12,2,0,55,100,,0.0,23.2,9839.84,9839.84,2024-12-04,27,23,427.8191304347826,2023-02
CUST_000006,2022-12-31,Small Business,Retail,UK,Basic,49,12,6,1,45,-11,,0.0,24.4,1249.22,1249.22,2024-12-28,3,25,49.9688,2022-12
CUST_000007,2024-09-20,Small Business,Other,Canada,Professional,149,1,5,2,50,9,,0.0,3.4,625.3499999999999,625.3499999999999,2024-12-20,11,4,156.33749999999998,2024-09
CUST_000008,2022-11-10,Startup,Finance,USA,Business,399,24,4,3,68,3,,0.0,26.1,10379.77,10379.77,2024-12-10,21,26,399.2219230769231,2022-11
CUST_000009,2024-06-26,Enterprise,Manufacturing,USA,Professional,149,1,407,2,44,94,,0.0,6.3,1103.8799999999999,1103.8799999999999,2024-12-26,5,7,157.69714285714284,2024-06
CUST_000010,2020-05-01,Startup,Retail,Australia,Basic,49,12,1,3,71,-22,,0.0,56.8,2793.27,2793.27,2024-12-01,30,56,49.879821428571425,2020-05
CUST_000011,2021-04-11,Mid-Market,Real Estate,Other,Business,399,12,34,3,33,64,,0.0,45.3,18276.74,18276.74,2024-12-11,20,45,406.1497777777778,2021-04
CUST_000012,2023-05-23,Small Business,Real Estate,USA,Basic,49,36,5,0,71,-34,,0.0,19.6,1009.87,1009.87,2024-12-23,8,20,50.4935,2023-05
CUST_000013,2020-11-26,Startup,Technology,USA,Enterprise,999,1,4,1,63,-20,2021-03-31,1.0,4.2,5075.71,5075.71,2021-03-26,1376,5,1015.142,2020-11
CUST_000014,2024-01-22,Mid-Market,Finance,France,Enterprise,999,12,31,0,71,-1,,0.0,11.5,11958.369999999999,11958.369999999999,2024-12-22,9,12,996.5308333333332,2024-01
CUST_000015,2020-03-28,Mid-Market,Healthcare,Canada,Professional,149,12,37,2,71,16,,0.0,58.0,8786.97,8786.97,2024-12-28,3,58,151.49948275862067,2020-03
CUST_000016,2023-10-28,Small Business,Finance,USA,Professional,149,1,6,4,44,70,,0.0,14.3,2299.29,2299.29,2024-12-28,3,15,153.286,2023-10
CUST_000017,2023-01-28,Startup,Technology,Other,Business,399,12,1,1,66,20,,0.0,23.4,9644.73,9644.73,2024-12-28,3,24,401.86375,2023-01
CUST_000018,2022-05-21,Enterprise,Education,USA,Professional,149,1,448,2,42,50,,0.0,31.8,4860.89,4860.89,2024-12-21,10,32,151.9028125,2022-05
CUST_000019,2024-08-14,Startup,Technology,Canada,Basic,49,1,1,2,56,3,,0.0,4.6,235.53,235.53,2024-12-14,17,5,47.106,2024-08
CUST_000020,2020-05-10,Mid-Market,Finance,UK,Enterprise,999,1,23,2,83,32,,0.0,56.5,56916.11,56916.11,2024-12-10,21,56,1016.3591071428572,2020-05
CUST_000021,2024-08-12,Startup,Retail,Canada,Professional,149,24,2,1,45,71,,0.0,4.7,752.99,752.99,2024-12-12,19,5,150.598,2024-08
CUST_000022,2023-08-25,Startup,Technology,USA,Basic,49,1,1,2,63,55,,0.0,16.5,875.56,875.56,2024-12-25,6,17,51.5035294117647,2023-08
CUST_000023,2022-02-08,Small Business,Real Estate,Germany,Professional,149,12,3,2,48,52,2023-11-10,1.0,21.3,3274.3,3274.3,2023-11-08,419,22,148.8318181818182,2022-02
CUST_000024,2020-12-09,Small Business,Education,Other,Basic,49,1,5,4,71,-44,,0.0,49.4,2482.19,2482.19,2024-12-09,22,49,50.656938775510206,2020-12
CUST_000025,2024-02-24,Small Business,Finance,UK,Basic,49,1,2,1,83,5,2024-12-01,1.0,9.4,534.66,534.66,2024-11-24,37,10,53.465999999999994,2024-02
CUST_000026,2023-12-08,Small Business,Finance,UK,Professional,149,1,2,5,55,35,,0.0,13.0,2028.54,2028.54,2024-12-08,23,13,156.04153846153847,2023-12
CUST_000027,2022-03-16,Enterprise,Technology,USA,Professional,149,12,222,1,69,21,,0.0,34.0,5044.3,5044.3,2024-12-16,15,34,148.36176470588236,2022-03
CUST_000028,2021-01-20,Enterprise,Manufacturing,Australia,Professional,149,1,178,1,60,9,,0.0,48.0,7325.39,7325.39,2024-12-20,11,48,152.61229166666666,2021-01
CUST_000029,2023-04-30,Enterprise,Technology,Other,Enterprise,999,1,52,6,45,-4,2024-04-10,1.0,11.5,12266.59,12266.59,2024-03-29,277,12,1022.2158333333333,2023-04
CUST_000030,2022-08-13,Small Business,Manufacturing,France,Business,399,24,6,1,72,69,,0.0,29.0,11801.99,11801.99,2024-12-13,18,29,406.9651724137931,2022-08
CUST_000031,2020-10-03,Mid-Market,Education,UK,Basic,49,12,22,2,74,43,,0.0,51.7,2524.87,2524.87,2024-12-03,28,51,49.507254901960785,2020-10
CUST_000032,2023-03-30,Small Business,Technology,Other,Basic,49,1,5,1,45,64,,0.0,21.4,1051.53,1051.53,2024-12-29,2,22,47.79681818181818,2023-03
CUST_000033,2021-04-04,Startup,Real Estate,USA,Professional,149,12,4,4,82,100,,0.0,45.6,6807.65,6807.65,2024-12-04,27,45,151.2811111111111,2021-04
CUST_000034,2023-08-30,Small Business,Technology,UK,Professional,149,1,8,4,90,-44,,0.0,16.3,2622.21,2622.21,2024-12-29,2,17,154.24764705882353,2023-08
CUST_000035,2020-01-22,Small Business,Real Estate,UK,Business,399,12,7,1,47,40,,0.0,60.2,24560.64,24560.64,2024-12-22,9,60,409.344,2020-01
CUST_000036,2020-09-09,Small Business,Technology,UK,Professional,149,12,6,1,92,20,,0.0,52.5,7858.13,7858.13,2024-12-09,22,52,151.1178846153846,2020-09
CUST_000037,2022-01-17,Startup,Retail,France,Basic,49,1,2,0,65,77,,0.0,36.0,1761.6,1761.6,2024-12-17,14,36,48.93333333333333,2022-01
CUST_000038,2022-05-06,Startup,Healthcare,Germany,Professional,149,1,1,2,63,69,,0.0,32.3,4884.11,4884.11,2024-12-06,25,32,152.6284375,2022-05
CUST_000039,2024-05-03,Startup,Education,USA,Business,399,12,4,1,98,24,,0.0,8.1,3416.51,3416.51,2024-12-03,28,8,427.06375,2024-05
CUST_000040,2021-04-19,Startup,Finance,USA,Enterprise,999,24,2,2,81,35,,0.0,45.1,45313.35,45313.35,2024-12-19,12,45,1006.9633333333333,2021-04
CUST_000041,2022-12-18,Enterprise,Technology,USA,Basic,49,1,124,3,52,70,,0.0,24.8,1272.74,1272.74,2024-12-18,13,25,50.9096,2022-12
CUST_000042,2021-05-25,Startup,Retail,Canada,Professional,149,1,1,2,54,58,,0.0,43.9,6764.37,6764.37,2024-12-25,6,44,153.7356818181818,2021-05
CUST_000043,2024-09-01,Startup,Finance,USA,Basic,49,12,2,4,71,100,,0.0,4.0,201.87,201.87,2024-12-01,30,4,50.4675,2024-09
CUST_000044,2024-02-08,Mid-Market,Retail,USA,Professional,149,12,24,5,71,40,,0.0,10.9,1621.66,1621.66,2024-12-08,23,11,147.42363636363638,2024-02
CUST_000045,2021-11-30,Startup,Real Estate,Germany,Basic,49,1,1,3,64,16,,0.0,37.6,1895.87,1895.87,2024-12-28,3,38,49.89131578947368,2021-11
CUST_000046,2022-09-02,Mid-Market,Finance,Australia,Enterprise,999,1,40,3,50,-4,,0.0,28.4,28557.11,28557.11,2024-12-02,29,28,1019.8967857142858,2022-09
CUST_000047,2024-12-11,Small Business,Healthcare,Other,Professional,149,1,4,5,54,38,,0.0,0.7,150.71,150.71,2024-12-11,20,1,150.71,2024-12
CUST_000048,2020-07-08,Mid-Market,Technology,Other,Business,399,1,18,1,64,-7,,0.0,54.6,21985.62,21985.62,2024-12-08,23,54,407.1411111111111,2020-07
CUST_000049,2022-08-15,Small Business,Retail,France,Enterprise,999,12,8,3,33,34,,0.0,29.0,30893.73,30893.73,2024-12-15,16,29,1065.3010344827585,2022-08
CUST_000050,2021-11-17,Small Business,Finance,USA,Basic,49,1,2,0,74,99,,0.0,38.0,1869.44,1869.44,2024-12-17,14,38,49.195789473684215,2021-11
CUST_000051,2022-08-15,Small Business,Healthcare,Australia,Business,399,12,6,4,70,68,,0.0,29.0,11729.27,11729.27,2024-12-15,16,29,404.45758620689656,2022-08
CUST_000052,2021-07-16,Small Business,Technology,USA,Business,399,36,5,2,46,-24,2023-03-13,1.0,20.2,8120.14,8120.14,2023-02-16,684,20,406.007,2021-07
CUST_000053,2024-05-09,Mid-Market,Finance,Germany,Professional,149,12,14,1,74,-43,,0.0,7.9,1220.56,1220.56,2024-12-09,22,8,152.57,2024-05
CUST_000054,2023-06-21,Startup,Other,UK,Professional,149,12,3,4,30,-38,,0.0,18.6,2827.57,2827.57,2024-12-21,10,19,148.81947368421052,2023-06
CUST_000055,2022-04-11,Mid-Market,Healthcare,France,Professional,149,12,21,3,72,6,,0.0,33.2,4935.3099999999995,4935.3099999999995,2024-12-11,20,33,149.55484848484846,2022-04
CUST_000056,2024-03-08,Small Business,Retail,UK,Business,399,12,2,4,82,16,,0.0,9.9,4005.08,4005.08,2024-12-08,23,10,400.508,2024-03
CUST_000057,2023-02-28,Startup,Education,USA,Professional,149,24,1,2,72,74,,0.0,22.4,3467.59,3467.59,2024-12-28,3,23,150.76478260869567,2023-02
CUST_000058,2024-02-17,Startup,Manufacturing,Canada,Professional,149,12,4,2,77,62,,0.0,10.6,1597.87,1597.87,2024-12-17,14,11,145.26090909090908,2024-02
