customer_id,segment,plan,recency,frequency,monetary,r_score,f_score,m_score,customer_segment
CUST_000001,Startup,Basic,3,24,1194.63,5,3,2,Promising
CUST_000002,Startup,Basic,2,13,676.89,5,2,1,New Customers
CUST_000004,Startup,Business,13,18,7107.6900000000005,3,2,4,Need Attention
CUST_000005,Startup,Business,27,23,9839.84,1,2,4,Hibernating High Value
CUST_000006,Small Business,Basic,3,25,1249.22,5,3,2,Promising
CUST_000007,Small Business,Professional,11,4,625.3499999999999,4,1,1,New Customers
CUST_000008,Startup,Business,21,26,10379.77,2,3,4,At Risk
CUST_000009,Enterprise,Professional,5,7,1103.8799999999999,5,1,1,New Customers
CUST_000010,Startup,Basic,30,56,2793.27,1,5,3,At Risk
CUST_000011,Mid-Market,Business,20,45,18276.74,2,4,5,At Risk
CUST_000012,Small Business,Basic,8,20,1009.87,4,2,1,New Customers
CUST_000014,Mid-Market,Enterprise,9,12,11958.369999999999,4,2,4,New Customers
CUST_000015,Mid-Market,Professional,3,58,8786.97,5,5,4,Champions
CUST_000016,Small Business,Professional,3,15,2299.29,5,2,2,New Customers
CUST_000017,Startup,Business,3,24,9644.73,5,3,4,Loyal Customers
CUST_000018,Enterprise,Professional,10,32,4860.89,4,3,3,Loyal Customers
CUST_000019,Startup,Basic,17,5,235.53,3,1,1,Promising
CUST_000020,Mid-Market,Enterprise,21,56,56916.11,2,5,5,At Risk
CUST_000021,Startup,Professional,19,5,752.99,3,1,1,Promising
CUST_000022,Startup,Basic,6,17,875.56,5,2,1,New Customers
CUST_000024,Small Business,Basic,22,49,2482.19,2,5,3,At Risk
CUST_000026,Small Business,Professional,23,13,2028.54,2,2,2,Lost
CUST_000027,Enterprise,Professional,15,34,5044.3,3,3,3,Loyal Customers
CUST_000028,Enterprise,Professional,11,48,7325.39,4,5,4,Champions
CUST_000030,Small Business,Business,18,29,11801.99,3,3,4,Loyal Customers
CUST_000031,Mid-Market,Basic,28,51,2524.87,1,5,3,At Risk
CUST_000032,Small Business,Basic,2,22,1051.53,5,2,1,New Customers
CUST_000033,Startup,Professional,27,45,6807.65,1,4,4,At Risk
CUST_000034,Small Business,Professional,2,17,2622.21,5,2,3,New Customers
CUST_000035,Small Business,Business,9,60,24560.64,4,5,5,Champions
CUST_000036,Small Business,Professional,22,52,7858.13,2,5,4,At Risk
CUST_000037,Startup,Basic,14,36,1761.6,3,4,2,Promising
CUST_000038,Startup,Professional,25,32,4884.11,2,3,3,At Risk
CUST_000039,Startup,Business,28,8,3416.51,1,1,3,Hibernating High Value
CUST_000040,Startup,Enterprise,12,45,45313.35,4,4,5,Champions
CUST_000041,Enterprise,Basic,13,25,1272.74,3,3,2,Promising
CUST_000042,Startup,Professional,6,44,6764.37,5,4,4,Champions
CUST_000043,Startup,Basic,30,4,201.87,1,1,1,Lost
CUST_000044,Mid-Market,Professional,23,11,1621.66,2,1,2,Lost
CUST_000045,Startup,Basic,3,38,1895.87,5,4,2,Promising
CUST_000046,Mid-Market,Enterprise,29,28,28557.11,1,3,5,At Risk
CUST_000047,Small Business,Professional,20,1,150.71,2,1,1,Lost
